Date,Close,High,Low,Open,Volume,Return,Rolling_GARCH_Vol,RiskMetrics_Vol,VIX_Daily_Shifted,RSI,LSTM_VaR
1997-01-15,767.2000122070312,770.9500122070312,763.719970703125,768.8599853515625,524990000,-0.216133978277934,0.7530769028508754,0.8324822331998434,1.2138959279843688,0.6152091681779212,
1997-01-16,769.75,772.0499877929688,765.25,767.2000122070312,537290000,0.3318247324235342,0.7377066314185344,0.8088559218252465,1.2220851053661672,0.6021286154895981,
1997-01-17,776.1699829101562,776.3699951171875,769.719970703125,769.75,534640000,0.8305759532583463,0.7245382930622594,0.7884158086430916,1.2353139244003588,0.6311058120322387,
1997-01-20,776.7000122070312,780.0800170898438,774.1900024414062,776.1699829101562,440470000,0.0682644804941272,0.7261656009436391,0.791008788147831,1.1735796358269155,0.6601580932480821,
1997-01-21,782.719970703125,783.719970703125,772.0,776.7000122070312,571280000,0.7720804487045008,0.7109139646880519,0.7670937433647221,1.1716898903589383,0.830487410047442,
1997-01-22,786.22998046875,786.22998046875,779.5599975585938,782.719970703125,589230000,0.4474350018381982,0.7111080325716567,0.7673938595004841,1.1219245104065885,0.8902622845659954,
1997-01-23,777.5599975585938,794.6699829101562,776.6400146484375,786.22998046875,685070000,-1.1088537293479577,0.7014200073265797,0.7520449589720701,1.0765688169000824,0.7448221880317165,
1997-01-24,770.52001953125,778.2100219726562,768.1699829101562,777.5599975585938,542920000,-0.90951714119835,0.7179202584182182,0.778081434479526,1.1635005928254698,0.6718606747697288,
1997-01-27,765.02001953125,771.4299926757812,764.1799926757812,770.52001953125,445760000,-0.7163634136078026,0.7233270656196426,0.786587160694116,1.2176755390719936,0.5888644894165855,
1997-01-28,765.02001953125,776.3200073242188,761.75,765.02001953125,541580000,0.0,0.7207284420553621,0.7825514629134946,1.2699606196988698,0.6355533120592597,
1997-01-29,772.5,772.7000122070312,765.02001953125,765.02001953125,498390000,0.9730005965879972,0.7055898691662353,0.7587117928314858,1.3064971806170282,0.6407091680470814,
1997-01-30,784.1699829101562,784.1699829101562,772.5,772.5,524160000,1.499380301396969,0.7148081655979851,0.773245613737517,1.2743701859930436,0.6756676560133501,
1997-01-31,786.1599731445312,791.8599853515625,784.1699829101562,784.1699829101562,578550000,0.2534488107991344,0.7543629907269512,0.8348189802031857,1.226494671660341,0.6844131701537074,
1997-02-03,786.72998046875,787.1400146484375,783.1199951171875,786.1599731445312,463600000,0.0724789865765733,0.7393552977576932,0.8117644633184969,1.226494671660341,0.6401098213346456,
1997-02-04,789.260009765625,789.280029296875,783.6799926757812,786.72998046875,506530000,0.3210720227920032,0.7235651782406433,0.7872350624064399,1.2334240587807113,0.6706843771446771,
1997-02-05,778.280029296875,792.7100219726562,773.4299926757812,789.260009765625,580520000,-1.40094157412687,0.7108655276913204,0.7672939042520356,1.2239749709858148,0.5587865277871907,
1997-02-06,780.1500244140625,780.3499755859375,774.4500122070312,778.280029296875,519660000,0.2399845934974205,0.7441352737494623,0.8192519618647345,1.3266552666199198,0.5291176023356311,
1997-02-07,789.5599975585938,789.719970703125,778.1900024414062,780.1500244140625,540910000,1.198958500142404,0.7361836138852028,0.7964665132351961,1.2699606196988698,0.5828244766903705,
1997-02-10,785.4299926757812,793.4600219726562,784.6900024414062,789.5599975585938,471590000,-0.5244495996344498,0.755791608417258,0.8261643065435303,1.1905880659487318,0.5178790344476151,
1997-02-11,789.5900268554688,789.5999755859375,780.9500122070312,785.4299926757812,483090000,0.528252822433354,0.7458863046593986,0.8112320609268123,1.3008277039097562,0.5218766908170032,
1997-02-12,802.77001953125,802.77001953125,789.5900268554688,789.5900268554688,563890000,1.6554413935318537,0.7365587426143839,0.7970913824271078,1.2579917110777767,0.6549915709518203,
1997-02-13,811.8200073242188,812.9299926757812,802.77001953125,802.77001953125,593710000,1.1210378387313058,0.7869037643666861,0.8727328136768466,1.2271246268668905,0.748519537884772,
1997-02-14,808.47998046875,812.2000122070312,808.1500244140625,811.8200073242188,491540000,-0.4122732347686971,0.7982514107139642,0.8895877474292508,1.2113761071581723,0.7708333974949965,
1997-02-18,816.2899780273438,816.2899780273438,806.3400268554688,808.47998046875,474110000,0.9613739680816438,0.7839034693244472,0.8683792558324227,1.2082264512770968,0.7905711636528302,
1997-02-19,812.489990234375,817.6799926757812,811.2000122070312,816.2899780273438,519350000,-0.4666062649961008,0.7878216542381822,0.8742379392549666,1.2409834011076308,0.736829049540205,
1997-02-20,802.7999877929688,812.489990234375,800.3499755859375,812.489990234375,492220000,-1.1997992699852418,0.7750512200421202,0.8552764116698303,1.29830800323523,0.6133619177347803,
